Nombre,Part,Titular,Min,JPar,Media,Disparos,TaP,DsR,% disparos,% conv,Gol,xG,xG- SP,xG- HR,GlEq
Komnen Andrić,0 (17),-0,354,0,6.65,11,2,0,18%,9%,1,"1,28","1,28","-0,28",2
Tiago Tomás,15 (1),15,1357,0,6.67,36,18,0,50%,22%,8,"3,49","3,49","4,51",22
Kevin Behrens,9 (11),9,977,2,6.80,51,32,0,63%,10%,5,"5,76","5,76","-0,76",13
Nuno Da Costa,1 (11),1,321,0,6.61,13,7,0,54%,8%,1,"1,12","1,12","-0,12",3
Steve Mounié,1 (11),1,244,1,6.66,9,4,0,44%,33%,3,"0,66","0,66","2,34",4
Sergi Guardiola,7 (3),7,481,0,6.70,15,7,1,47%,13%,2,"1,55","1,55","0,45",4
Zakaria Aboukhlal,17,17,1359,2,6.98,29,15,0,52%,14%,4,"2,55","2,55","1,45",13
Myziane Maolida,2 (9),2,321,0,6.90,9,4,0,44%,22%,2,"0,63","0,63","1,37",6
Simon Zoller,0 (9),-0,202,1,6.82,4,4,0,100%,-0,0,"0,48","0,48","-0,48",1
Cristhian Stuani,18,18,1366,2,6.73,40,18,1,45%,13%,5,"5,45","3,87","-0,45",12
Amine Salama,1 (13),1,351,0,6.70,9,4,0,44%,-0,0,"1,69","1,69","-1,69",1
Milan �?urić,2 (6),2,232,0,6.22,1,1,0,100%,-0,0,"0,07","0,07","-0,07",0
Edin Džeko,7 (10),7,847,1,7.08,38,20,0,53%,18%,7,"4,29","4,29","2,71",15
Marvin Ducksch,15 (1),15,1097,0,6.85,40,15,0,38%,5%,2,"4,11","4,11","-2,11",18
Ignacio Pussetto,12 (1),12,866,0,6.47,12,3,0,25%,-0,0,"1,21","1,21","-1,21",11
Nicola Sansone,1 (10),1,321,0,6.88,5,0,0,0%,-0,0,"0,31","0,31","-0,31",2
Sam Lammers,0 (9),-0,183,0,6.68,8,1,0,13%,-0,0,"0,57","0,57","-0,57",1
Silvère Ganvoula,0 (11),-0,262,0,6.61,10,3,0,30%,-0,0,"1,77","1,77","-1,77",0
Daniel Ciofani,0 (10),-0,144,0,6.55,5,4,0,80%,-0,0,"1,09","1,09","-1,09",1
�?ngel,0 (12),-0,212,0,6.63,4,2,0,50%,-0,0,"0,3","0,3","-0,3",1
Lucas Höler,17 (3),17,1556,0,6.96,86,41,0,48%,12%,10,"9,31","9,31","0,69",20
Ethyan,0 (4),-0,126,0,6.50,3,1,0,33%,-0,0,"0,18","0,18","-0,18",0
Brad Young,0 (7),-0,121,0,6.67,7,2,0,29%,14%,1,"1,5","0,69","-0,5",2
Simon Terodde,2 (6),2,293,2,7.14,10,7,1,70%,40%,4,"1,75","1,75","2,25",5
Radamel Falcao,0 (12),-0,236,0,6.64,6,3,0,50%,-0,0,"1,45","1,45","-1,45",1
�?lvaro Negredo,1 (15),1,598,1,6.91,24,9,0,38%,21%,5,"2,53","2,53","2,47",8
Fabio Quagliarella,2 (6),2,240,0,6.66,9,7,0,78%,11%,1,"2,41","1,6","-1,41",4
Yoann Touzghar,6 (8),6,707,0,6.50,25,8,0,32%,4%,1,"5,09","5,09","-4,09",4
Daniel Saponara,0 (4),-0,139,0,6.40,1,1,0,100%,-0,0,"0,03","0,03","-0,03",1
Mohamed-Ali Cho,7 (4),7,704,0,6.72,9,5,0,56%,22%,2,"1,35","1,35","0,65",10
Victor Akinwale,0 (6),-0,107,0,6.00,3,0,0,0%,-0,0,"0,19","0,19","-0,19",0
DJ Campton-Sturridge,0 (4),-0,124,0,6.30,2,1,0,50%,-0,0,"0,32","0,32","-0,32",0
Raúl Jiménez,5 (12),5,655,0,6.74,21,11,0,52%,19%,4,"2,13","2,13","1,87",9
Heung-Min Son,26 (1),26,2095,1,7.17,48,18,1,38%,15%,7,"5,93","5,93","1,07",31
Erling Haaland,24,24,1647,5,7.54,93,45,0,48%,18%,17,"8,79","8,79","8,21",39
Ciro Immobile,20,20,1541,2,6.89,58,35,1,60%,16%,9,"7,95","7,16","1,05",19
Andrej Kramarić,16,16,1397,1,6.80,43,19,0,44%,12%,5,"5,52","5,52","-0,52",10
Kai Havertz,20 (1),20,1636,1,7.39,50,31,0,62%,24%,12,"5,2","5,2","6,8",37
Kevin Gameiro,12 (4),12,785,2,6.95,23,9,0,39%,22%,5,"2,75","1,96","2,25",7
Robert Lewandowski,10,10,879,3,7.35,34,22,0,65%,21%,7,"6,42","4,84","0,58",18
Mohamed Salah,26,26,2200,12,7.82,89,39,1,44%,17%,15,"14,19","11,01","0,81",56
Marko Arnautović,15,15,1160,1,6.93,33,18,0,55%,18%,6,"3,32","3,32","2,68",14
Iago Aspas,18,18,1540,2,7.07,39,25,5,64%,31%,12,"6,91","4,54","5,09",24
Alexandre Lacazette,17,17,1354,1,6.82,58,29,1,50%,9%,5,"8,02","8,02","-3,02",20
Ante Budimir,5 (4),5,400,0,6.76,20,10,0,50%,5%,1,"3,32","2,53","-2,32",6
José Luis Morales,14 (3),14,1084,3,7.24,28,12,1,43%,18%,5,"2,97","2,97","2,03",16
Kylian Mbappé,22 (1),22,1848,3,7.41,65,32,0,49%,26%,17,"8,16","8,16","8,84",44
Joselu,3 (3),3,281,0,6.58,3,2,0,67%,33%,1,"0,48","0,48","0,52",2
Manolo Gabbiadini,14,14,1148,1,6.79,25,12,0,48%,16%,4,"3,67","3,67","0,33",15
Lionel Messi,22,22,1708,2,7.30,91,51,0,56%,16%,15,"12,15","12,15","2,85",40
Florian Niederlechner,1 (11),1,322,0,6.70,20,10,0,50%,15%,3,"2,48","2,48","0,52",5
Wissam Ben Yedder,24 (1),24,1823,2,6.99,76,36,0,47%,9%,7,"9,88","9,09","-2,88",34
Antoine Griezmann,19 (2),19,1604,0,6.85,47,21,1,45%,9%,4,"5,85","5,85","-1,85",25
Harry Kane,24,24,1971,1,6.95,77,35,0,45%,10%,8,"9,48","8,67","-1,48",26
Edinson Cavani,16,16,1440,2,7.07,50,28,2,56%,16%,8,"8,83","4,87","-0,83",28
